City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
513,rio gallegos,-51.6226,-69.2181,5.03,56,20,8.75,AR,1669708018
514,hirara,24.8,125.2833,27.15,78,40,5.14,JP,1669708018
515,parker,32.7668,-97.8003,15.88,84,22,0.45,US,1669707849
516,porto novo,6.4965,2.6036,25.9,75,87,0.69,BJ,1669708019
517,marathon,44.9,-89.7668,2.97,91,75,3.6,US,1669708019
518,karpogory,64.0019,44.4451,-4.74,96,100,2.33,RU,1669708020
519,rosario,-32.9468,-60.6393,24.34,61,0,3.09,AR,1669708016
520,chor,25.5167,69.7667,30.43,10,58,4.13,PK,1669708020
521,elyria,41.3684,-82.1077,4.8,86,100,3.09,US,1669708021
522,alenquer,-1.9417,-54.7383,23.3,92,100,1.71,BR,1669708021
523,manoel urbano,-8.8389,-69.2597,21.96,88,58,1.73,BR,1669708022
524,kingsville,27.5159,-97.8561,23.05,97,100,4.12,US,1669707911
525,tuy hoa,13.0833,109.3,27.78,75,18,3.07,VN,1669708022
526,kysyl-syr,63.8986,122.7617,-38.5,100,72,1.99,RU,1669708023
527,yuanping,38.7153,112.7575,-8.27,11,90,8.1,CN,1669708023
528,souris,49.6172,-100.2612,-7.08,85,100,7.72,CA,1669708024
529,khadzhalmakhi,42.42,47.1821,7.31,65,12,1.65,RU,1669708024
530,bantry,51.6833,-9.45,9.32,92,87,1.78,IE,1669707917
531,ibra,22.6906,58.5334,29.86,24,0,1.57,OM,1669708025
532,harper,4.375,-7.7169,25.73,82,11,1.46,LR,1669708026
533,nadvoitsy,63.8667,34.3167,-7.29,93,82,1.95,RU,1669708026
534,tambopata,-12.7333,-69.1833,21.81,63,100,1.11,PE,1669708026
535,kirakira,-10.4544,161.9205,25.92,83,100,1.1,SB,1669708027
536,babu,24.4167,111.5167,17.76,90,93,4.04,CN,1669708027
537,severo-yeniseyskiy,60.3725,93.0408,-24.86,98,100,1.44,RU,1669708028
538,mogzon,51.7435,111.9606,-19.89,75,100,7.03,RU,1669708029
539,aquiraz,-3.9014,-38.3911,26.77,80,100,0.51,BR,1669708089
540,eydhafushi,5.1033,73.0708,27.2,73,45,1.62,MV,1669708089
541,mariental,-24.6333,17.9667,30.01,21,53,3.15,NA,1669708090
542,orizona,-17.0314,-48.2958,17.75,89,0,1.63,BR,1669708090
